body_type,daysonmarket,fuel_type,has_accidents,highway_fuel_economy,horsepower,is_new,make_name,mileage,price,seller_rating,year
Sedan,0,Gasoline,False,33.0,283.0,False,Chrysler,57995.0,6500.0,2.8,2013
SUV / Crossover,76,Gasoline,False,26.0,182.0,False,Chevrolet,31232.0,16224.0,3.4477611940298507,2017
SUV / Crossover,278,Gasoline,False,26.0,246.0,True,Land Rover,8.0,56607.0,3.0,2020
SUV / Crossover,16,Gasoline,True,31.0,180.0,False,Jeep,35392.0,14849.0,3.4477611940298507,2016
Sedan,447,Gasoline,,33.0,186.0,True,Mazda,11.0,32195.0,2.8,2019
SUV / Crossover,187,Gasoline,,26.0,340.0,True,Land Rover,7.0,76640.0,3.0,2020
SUV / Crossover,201,Gasoline,,26.0,355.0,True,Land Rover,10.0,76430.0,3.0,2020
SUV / Crossover,46,Gasoline,False,20.0,285.0,False,Jeep,99933.0,18700.0,2.8,2014
SUV / Crossover,42,Gasoline,True,25.0,295.0,False,Dodge,15732.0,27300.0,2.8,2018
SUV / Crossover,11,Gasoline,False,23.0,285.0,False,Jeep,24057.0,39000.0,2.8,2018
Sedan,34,Gasoline,True,33.0,208.0,False,Mercedes-Benz,17935.0,23000.0,2.8,2017
SUV / Crossover,91,Gasoline,False,26.0,170.0,False,Chevrolet,15289.0,20879.0,3.4477611940298507,2020
SUV / Crossover,77,Gasoline,False,26.0,182.0,False,Chevrolet,35363.0,13823.0,3.4477611940298507,2016
SUV / Crossover,230,Gasoline,,26.0,246.0,True,Land Rover,9.0,56885.0,3.0,2020
Sedan,20,Gasoline,False,30.0,300.0,False,Dodge,13317.0,26500.0,2.8,2019
SUV / Crossover,70,Gasoline,,26.0,246.0,True,Land Rover,13.0,56635.0,3.0,2020
SUV / Crossover,84,Gasoline,False,26.0,182.0,False,Chevrolet,61421.0,12979.0,3.4477611940298507,2015
SUV / Crossover,24,Gasoline,False,26.0,172.0,False,Jeep,53743.0,13959.0,3.4477611940298507,2016
SUV / Crossover,324,Gasoline,False,26.0,246.0,False,Land Rover,62.0,76799.0,3.0,2020
Sedan,447,Gasoline,,33.0,186.0,True,Mazda,21.0,32195.0,2.8,2019
Pickup Truck,28,Gasoline,False,22.0,355.0,False,Chevrolet,12916.0,34224.0,3.4477611940298507,2018
SUV / Crossover,22,Gasoline,False,20.0,285.0,False,Jeep,95997.0,23300.0,2.8,2012
SUV / Crossover,310,Gasoline,False,26.0,246.0,False,Land Rover,47846.74954561977,76799.0,3.0,2020
SUV / Crossover,6,Gasoline,True,26.0,170.0,False,Nissan,91737.0,7200.0,2.8,2011
SUV / Crossover,17,Gasoline,False,25.0,295.0,False,Jeep,31273.0,23300.0,2.8,2017
SUV / Crossover,81,Gasoline,False,22.0,281.0,False,Chevrolet,68281.0,16700.0,2.8,2017
Sedan,447,Gasoline,,33.0,186.0,True,Mazda,20.0,32195.0,2.8,2019
SUV / Crossover,35,Gasoline,False,25.0,241.0,False,Jeep,29191.0,25000.0,2.8,2017
SUV / Crossover,242,Gasoline,False,26.0,246.0,True,Land Rover,8.0,57282.0,3.0,2020
Sedan,97,Gasoline,False,40.0,158.0,False,Honda,32894.0,14400.0,2.8,2017
SUV / Crossover,24,Gasoline,False,31.0,180.0,False,Jeep,48522.0,12924.0,3.4477611940298507,2015
Sedan,76,Gasoline,False,36.0,160.0,False,Chevrolet,61981.0,14359.0,3.4477611940298507,2018
SUV / Crossover,12,Gasoline,False,26.0,295.0,False,Lexus,24021.0,34949.0,3.4477611940298507,2017
SUV / Crossover,19,Gasoline,False,28.0,241.0,False,Mercedes-Benz,81807.0,22000.0,2.8,2016
SUV / Crossover,70,Gasoline,,26.0,246.0,True,Land Rover,11.0,57535.0,3.0,2020
SUV / Crossover,77,Gasoline,False,22.0,281.0,False,Chevrolet,58971.0,18959.0,3.4477611940298507,2017
SUV / Crossover,70,Gasoline,,26.0,340.0,True,Land Rover,11.0,77270.0,3.0,2020
Sedan,20,Gasoline,False,22.0,707.0,False,Dodge,19652.0,57000.0,2.8,2018
SUV / Crossover,187,Gasoline,,26.0,340.0,True,Land Rover,11.0,77885.0,3.0,2020
SUV / Crossover,53,Gasoline,False,26.0,170.0,False,Chevrolet,44244.0,16924.0,3.4477611940298507,2018
Sedan,447,Gasoline,,33.0,186.0,True,Mazda,17.0,32195.0,2.8,2019
Pickup Truck,62,Gasoline,False,22.0,355.0,False,Chevrolet,31041.0,31841.0,3.4477611940298507,2017
SUV / Crossover,70,Gasoline,,26.0,246.0,True,Land Rover,10.0,57535.0,3.0,2020
Sedan,20,Gasoline,False,33.0,185.0,False,Kia,28241.0,15500.0,2.8,2019
SUV / Crossover,6,Gasoline,False,22.0,365.0,False,Ford,53326.0,25000.0,2.8,2016
SUV / Crossover,37,Gasoline,False,26.0,170.0,False,Chevrolet,4742.0,20439.0,3.4477611940298507,2019
Sedan,447,Gasoline,,33.0,186.0,True,Mazda,12.0,32195.0,2.8,2019
SUV / Crossover,236,Gasoline,False,21.0,450.0,False,Lincoln,37415.0,56200.0,2.8,2018
Wagon,12,Gasoline,False,32.0,175.0,False,Subaru,23175.0,22159.0,3.4477611940298507,2018
Sedan,20,Gasoline,False,31.0,300.0,False,BMW,81120.0,18500.0,2.8,2015
SUV / Crossover,187,Gasoline,,26.0,246.0,True,Land Rover,7.0,58655.0,3.0,2020
SUV / Crossover,66,Gasoline,False,26.0,360.0,False,Jeep,42942.0,33700.0,2.8,2019
SUV / Crossover,230,Diesel,,26.0,254.0,True,Land Rover,13.0,80380.0,3.0,2020
SUV / Crossover,58,Gasoline,False,22.0,385.0,False,Mercedes-Benz,21803.0,58200.0,2.8,2018
SUV / Crossover,16,Gasoline,False,21.0,420.0,False,Cadillac,45058.0,43859.0,3.4477611940298507,2016
Sedan,447,Gasoline,,33.0,186.0,True,Mazda,19.0,32195.0,2.8,2019
SUV / Crossover,13,Gasoline,,26.0,380.0,True,Land Rover,5.0,81295.0,3.0,2020
SUV / Crossover,25,Gasoline,,26.0,246.0,True,Land Rover,8.0,58975.0,3.0,2020
SUV / Crossover,18,Gasoline,False,26.0,164.0,False,Hyundai,30843.0,15939.0,3.4477611940298507,2017
SUV / Crossover,57,Gasoline,False,22.0,281.0,False,Chevrolet,24771.0,23723.0,3.4477611940298507,2017
Coupe,62,Gasoline,True,33.0,248.0,False,BMW,24584.0,23500.0,2.8,2017
SUV / Crossover,7,Gasoline,False,24.0,241.0,False,Jeep,59754.0,21500.0,2.8,2015
Minivan,59,Gasoline,False,28.0,287.0,False,Chrysler,32130.0,19500.0,2.8,2017
SUV / Crossover,29,Gasoline,False,32.0,170.0,False,Nissan,49531.0,11500.0,2.8,2014
SUV / Crossover,334,Gasoline,False,26.0,246.0,False,Land Rover,47846.74954561977,59499.0,3.0,2020
SUV / Crossover,243,Gasoline,False,26.0,355.0,False,Chevrolet,38003.0,37924.0,3.4477611940298507,2018
SUV / Crossover,52,Gasoline,False,26.0,172.0,False,Jeep,81834.0,10500.0,2.8,2016
Sedan,447,Gasoline,,33.0,186.0,True,Mazda,26.0,32195.0,2.8,2019
SUV / Crossover,241,Gasoline,False,26.0,246.0,True,Land Rover,40.0,59808.0,3.0,2020
SUV / Crossover,35,Gasoline,True,29.0,177.0,False,Jeep,14252.0,18200.0,2.8,2019
Coupe,96,Gasoline,False,28.0,335.0,False,Chevrolet,16626.0,22759.0,3.4477611940298507,2017
Sedan,6,Gasoline,True,33.0,138.0,False,Chevrolet,68344.0,8000.0,2.8,2014
SUV / Crossover,76,Gasoline,False,33.0,138.0,False,Chevrolet,4580.0,15724.0,3.4477611940298507,2018
SUV / Crossover,52,Gasoline,False,24.0,354.0,False,Audi,45968.0,36500.0,2.8,2018
SUV / Crossover,20,Gasoline,,26.0,395.0,True,Land Rover,14.0,88235.0,3.0,2020
SUV / Crossover,5,Gasoline,,26.0,398.0,True,Land Rover,10.0,90430.0,3.0,2020
Hatchback,27,Gasoline,False,37.0,153.0,False,Chevrolet,38097.0,14824.0,3.4477611940298507,2017
SUV / Crossover,278,Gasoline,False,26.0,246.0,False,Jaguar,47846.74954561977,60743.0,3.0,2020
Sedan,447,Gasoline,,33.0,186.0,True,Mazda,147.0,32195.0,2.8,2019
SUV / Crossover,42,Gasoline,False,26.0,170.0,False,Chevrolet,26818.0,17439.0,3.4477611940298507,2019
SUV / Crossover,66,Gasoline,False,25.0,295.0,False,Dodge,65508.0,27200.0,2.8,2017
SUV / Crossover,35,Gasoline,False,20.0,285.0,False,Jeep,45858.0,29000.0,2.8,2016
SUV / Crossover,265,Gasoline,,26.0,296.0,True,Land Rover,8.0,61169.0,3.0,2020
SUV / Crossover,18,Gasoline,False,22.0,281.0,False,Chevrolet,59216.0,19629.0,3.4477611940298507,2017
Sedan,438,Gasoline,,33.0,186.0,True,Mazda,15.0,32195.0,2.8,2019
Pickup Truck,42,Gasoline,False,22.0,355.0,False,Chevrolet,53558.0,28924.0,3.4477611940298507,2017
SUV / Crossover,29,Gasoline,False,24.0,290.0,False,Jeep,98309.0,13600.0,2.8,2014
SUV / Crossover,15,Gasoline,False,25.0,295.0,False,Dodge,39245.0,27300.0,2.8,2017
SUV / Crossover,34,Gasoline,False,20.0,285.0,False,Jeep,76354.0,28000.0,2.8,2017
SUV / Crossover,187,Gasoline,,26.0,340.0,True,Land Rover,11.0,62020.0,3.0,2020
SUV / Crossover,25,Gasoline,,26.0,395.0,True,Land Rover,18.0,91355.0,3.0,2020
SUV / Crossover,35,Gasoline,False,30.0,237.0,False,Cadillac,4320.0,33939.0,3.4477611940298507,2019
SUV / Crossover,5,Gasoline,,26.0,398.0,True,Land Rover,5.0,93515.0,3.0,2020
Sedan,25,Gasoline,False,30.0,300.0,False,Nissan,35924.0,21700.0,2.8,2017
SUV / Crossover,187,Gasoline,,26.0,340.0,True,Land Rover,7.0,62165.0,3.0,2020
SUV / Crossover,18,Gasoline,False,25.0,241.0,False,Jeep,19477.0,30500.0,2.8,2017
SUV / Crossover,34,Gasoline,False,28.0,241.0,False,Mercedes-Benz,57513.0,27800.0,2.8,2017
SUV / Crossover,78,Gasoline,False,22.0,281.0,False,Chevrolet,70387.0,16439.0,3.4477611940298507,2017
SUV / Crossover,41,Gasoline,False,27.0,180.0,False,Jeep,25122.0,21000.0,2.8,2018
Pickup Truck,62,Gasoline,False,22.0,355.0,False,Chevrolet,29969.0,32439.0,3.4477611940298507,2017
Sedan,438,Gasoline,,33.0,186.0,True,Mazda,18.0,32195.0,2.8,2019
Sedan,29,Gasoline,False,33.0,241.60205479452054,False,Mercedes-Benz,41672.0,12500.0,2.8,2012
SUV / Crossover,15,Gasoline,False,23.0,288.0,False,Chevrolet,67478.0,18800.0,2.8,2015
SUV / Crossover,196,Gasoline,,26.0,286.0,True,Land Rover,11.0,62185.0,3.0,2020
Coupe,53,Gasoline,False,27.0,455.0,False,Chevrolet,24840.0,32924.0,3.4477611940298507,2018
Hatchback,412,Gasoline,,36.0,186.0,True,Mazda,5.0,32595.0,2.8,2019
SUV / Crossover,60,Gasoline,False,22.0,281.0,False,Chevrolet,57061.0,22724.0,3.4477611940298507,2017
SUV / Crossover,187,Gasoline,,26.0,340.0,True,Land Rover,11.0,62280.0,3.0,2020
